".groups","time","HR1","HR2","Resp1","Resp2","study","group","trial","condition","filename","optRadiusHR","optEmbdimHR","optDelayHR","optRadiusResp","optEmbdimResp","optDelayResp"
"1",13.677292,1.36881894042826,-0.758918744041916,NA,0.509024937390997,"Study1","G1","T1","Synchronous","Study1_G1_T1_Synchronous.csv",0.259993076796759,20,0,NA,NA,NA
"2",13.67896,1.36881894042826,-0.758918744041916,NA,0.447982789431542,"Study1","G1","T1","Synchronous","Study1_G1_T1_Synchronous.csv",0.259993076796759,20,0,NA,NA,NA
"3",13.680624,1.36881894042826,-0.758918744041916,NA,0.387081367923812,"Study1","G1","T1","Synchronous","Study1_G1_T1_Synchronous.csv",0.259993076796759,20,0,NA,NA,NA
"4",13.682292,1.36881894042826,-0.758918744041916,NA,0.328654462908667,"Study1","G1","T1","Synchronous","Study1_G1_T1_Synchronous.csv",0.259993076796759,20,0,NA,NA,NA
"5",13.683958,0.61582751449684,-0.868838769096229,NA,0.273668314830899,"Study1","G1","T1","Synchronous","Study1_G1_T1_Synchronous.csv",0.259993076796759,20,0,NA,NA,NA
"6",13.685625,0.522761158482842,-1.10241882233664,NA,0.238194352390681,"Study1","G1","T1","Synchronous","Study1_G1_T1_Synchronous.csv",0.259993076796759,20,0,NA,NA,NA
"7",13.687292,0.522761158482842,-1.10241882233664,NA,0.244428434850748,"Study1","G1","T1","Synchronous","Study1_G1_T1_Synchronous.csv",0.259993076796759,20,0,NA,NA,NA
"8",13.68896,0.522761158482842,-1.10241882233664,NA,0.288706879959916,"Study1","G1","T1","Synchronous","Study1_G1_T1_Synchronous.csv",0.259993076796759,20,0,NA,NA,NA
"9",13.690623,0.522761158482842,-1.10241882233664,NA,0.34260540582034,"Study1","G1","T1","Synchronous","Study1_G1_T1_Synchronous.csv",0.259993076796759,20,0,NA,NA,NA
"10",13.692291,0.522761158482842,-1.10241882233664,NA,0.399258151210194,"Study1","G1","T1","Synchronous","Study1_G1_T1_Synchronous.csv",0.259993076796759,20,0,NA,NA,NA
"11",13.693959,0.522761158482842,-1.11238900777112,NA,0.459369280398835,"Study1","G1","T1","Synchronous","Study1_G1_T1_Synchronous.csv",0.259993076796759,20,0,NA,NA,NA
"12",13.695625,0.522761158482842,-1.16106697195123,NA,0.51759457898783,"Study1","G1","T1","Synchronous","Study1_G1_T1_Synchronous.csv",0.259993076796759,20,0,NA,NA,NA
"13",13.697292,0.522761158482842,-1.16106697195123,NA,0.56094346675324,"Study1","G1","T1","Synchronous","Study1_G1_T1_Synchronous.csv",0.259993076796759,20,0,NA,NA,NA
"14",13.698958,0.522761158482842,-1.16106697195123,NA,0.578521357536918,"Study1","G1","T1","Synchronous","Study1_G1_T1_Synchronous.csv",0.259993076796759,20,0,NA,NA,NA
"15",13.700624,0.021313925957478,-1.16106697195123,NA,0.565214295028581,"Study1","G1","T1","Synchronous","Study1_G1_T1_Synchronous.csv",0.259993076796759,20,0,NA,NA,NA
"16",13.702291,-0.0406626982872301,-1.16106697195123,NA,0.535199570269704,"Study1","G1","T1","Synchronous","Study1_G1_T1_Synchronous.csv",0.259993076796759,20,0,NA,NA,NA
"17",13.70396,-0.0406626982872301,-1.1373339716831,NA,0.506564253177294,"Study1","G1","T1","Synchronous","Study1_G1_T1_Synchronous.csv",0.259993076796759,20,0,NA,NA,NA
"18",13.705625,-0.0406626982872301,-0.963291969716843,NA,0.490183783933122,"Study1","G1","T1","Synchronous","Study1_G1_T1_Synchronous.csv",0.259993076796759,20,0,NA,NA,NA
